Last,First,Name,Title
Almeida,Roberto,Vai Passar,Minha Historia
Almeida,Roberto,Morena De Angola,Minha Historia
Almeida,Roberto,Meu Caro Amigo,Minha Historia
Almeida,Roberto,Mateus Enter,Afrociberdelia
Almeida,Roberto,Samba Do Lado,Afrociberdelia
Almeida,Roberto,Um Satélite Na Cabeça,Afrociberdelia
Almeida,Roberto,Amor De Muito,Afrociberdelia
Almeida,Roberto,Banditismo Por Uma Questa,Da Lama Ao Caos
Almeida,Roberto,Maracatu De Tiro Certeiro,Da Lama Ao Caos
Almeida,Roberto,Stir It Up (Live),Quanta Gente Veio Ver (Live)
Almeida,Roberto,Refavela (Live),Quanta Gente Veio Ver (Live)
Almeida,Roberto,Right Next Door to Hell,Use Your Illusion I
Almeida,Roberto,In The Evening,In Through The Out Door
Almeida,Roberto,Fool In The Rain,In Through The Out Door
Almeida,Roberto,Be Good Johnny,The Best Of Men At Work
Almeida,Roberto,Down by the Sea,The Best Of Men At Work
Almeida,Roberto,It's a Mistake,The Best Of Men At Work
Almeida,Roberto,Shakes and Ladders,The Best Of Men At Work
Almeida,Roberto,Saudade Dos Aviões Da Panair (Conversando No Bar),Minas
Almeida,Roberto,Caso Você Queira Saber,Minas
Almeida,Roberto,Dance,Ace Of Spades
Almeida,Roberto,Aos Leões,Demorou...
Almeida,Roberto,Demorou!,Demorou...
Almeida,Roberto,Home Sweet Home,Motley Crue Greatest Hits
Almeida,Roberto,Intro,From The Muddy Banks Of The Wishkah [Live]
Almeida,Roberto,Scentless Apprentice,From The Muddy Banks Of The Wishkah [Live]
Almeida,Roberto,In Bloom,Nevermind
Almeida,Roberto,On A Plain,Nevermind
Almeida,Roberto,Mundaréu,Compositores
Almeida,Roberto,Nossa Gente (Avisa Là),Olodum
Almeida,Roberto,Revolta Olodum,Olodum
Almeida,Roberto,Vai Valer,Acústico MTV
Almeida,Roberto,Stand Inside Your Love,Rotten Apples: Greatest Hits
Almeida,Roberto,Eye,Rotten Apples: Greatest Hits
Almeida,Roberto,Flower,A-Sides
Almeida,Roberto,Jesus Christ Pose,A-Sides
Almeida,Roberto,The Day I Tried To Live,A-Sides
Almeida,Roberto,Burden In My Hand,A-Sides
Barnett,Julia,Black Hole Sun,A-Sides
Barnett,Julia,Spoonman,A-Sides
Barnett,Julia,Pretty Noose,A-Sides
Barnett,Julia,Outshined,A-Sides
Barnett,Julia,So Central Rain,The Best Of R.E.M.: The IRS Years
Barnett,Julia,Pretty Persuasion,The Best Of R.E.M.: The IRS Years
Barnett,Julia,Of Wolf And Man,Black Album
Barnett,Julia,The God That Failed,Black Album
Barnett,Julia,Can't Stand Losing You,The Police Greatest Hits
Barnett,Julia,King Of Pain,The Police Greatest Hits
Barnett,Julia,Get Off Of My Cloud,"Hot Rocks, 1964-1971 (Disc 1)"
Barnett,Julia,Gimmie Shelters,No Security
Barnett,Julia,Thief In The Night,No Security
Barnett,Julia,Out Of Tears,Voodoo Lounge
Barnett,Julia,Walking Wounded,Tangents
Barnett,Julia,Heaven Coming Down,Tangents
Barnett,Julia,Gyroscope,Transmission
Barnett,Julia,"Anyway, Anyhow, Anywhere",My Generation - The Very Best Of The Who
Barnett,Julia,Pinball Wizard,My Generation - The Very Best Of The Who
Barnett,Julia,You Better You Bet,My Generation - The Very Best Of The Who
Barnett,Julia,Música No Ar,Serie Sem Limite (Disc 1)
Barnett,Julia,Você,Serie Sem Limite (Disc 2)
Barnett,Julia,Safety Training,"The Office, Season 3"
Barnett,Julia,The Job,"The Office, Season 3"
Barnett,Julia,"Battlestar Galactica, Pt. 1","Battlestar Galactica (Classic), Season 1"
Barnett,Julia,"Lost Planet of the Gods, Pt. 2","Battlestar Galactica (Classic), Season 1"
Barnett,Julia,"The Gun On Ice Planet Zero, Pt. 2","Battlestar Galactica (Classic), Season 1"
Barnett,Julia,"The Living Legend, Pt. 2","Battlestar Galactica (Classic), Season 1"
Barnett,Julia,You've Got Another Thing Comin',Living After Midnight
Barnett,Julia,Xote Dos Milagres,Deixa Entrar
Barnett,Julia,Principiando/Decolagem,Deixa Entrar
Barnett,Julia,In Your Honor,In Your Honor [Disc 1]
Barnett,Julia,Free Me,In Your Honor [Disc 1]
Barnett,Julia,Midnight Cowboy,Angel Dust
Barnett,Julia,Star A.D.,King For A Day Fool For A Lifetime
Barnett,Julia,King For A Day,King For A Day Fool For A Lifetime
Barnett,Julia,Epic,The Real Thing
Barnett,Julia,The Morning After,The Real Thing
Bernard,Camille,De Ja Vu,Somewhere in Time
Bernard,Camille,Gangland,The Number of The Beast
Bernard,Camille,The Number Of The Beast,The Number of The Beast
Bernard,Camille,Man On The Edge,The X Factor
Bernard,Camille,Judgement Of Heaven,The X Factor
Bernard,Camille,The Unbeliever,The X Factor
Bernard,Camille,Body Count's In The House,Body Count
Bernard,Camille,Under The Sun/Every Day Comes and Goes,Black Sabbath Vol. 4 (Remaster)
Bernard,Camille,Slave,Into The Light
Bernard,Camille,Começaria Tudo Outra Vez,Meus Momentos
Bernard,Camille,Comportamento Geral,Meus Momentos
Bernard,Camille,Menino Do Rio,Minha Historia
Bernard,Camille,Ando Meio Desligado,Minha História
Bernard,Camille,Rita Lee,Minha História
Bernard,Camille,Smoke On The Water,MK III The Final Concerts [Disc 1]
Bernard,Camille,Beija-Flor,Sambas De Enredo 2001
Bernard,Camille,Caprichosos,Sambas De Enredo 2001
Bernard,Camille,Do You Like The Way,Supernatural
Bernard,Camille,Manuel,The Best of Ed Motta
Bernard,Camille,Do You Have Other Loves?,The Best of Ed Motta
Bernard,Camille,'Round Midnight,The Essential Miles Davis [Disc 1]
Bernard,Camille,E.S.P.,The Essential Miles Davis [Disc 2]
Bernard,Camille,Lodi,"Chronicle, Vol. 1"
Bernard,Camille,Commotion,"Chronicle, Vol. 1"
Bernard,Camille,Fortunate Son,"Chronicle, Vol. 1"
Bernard,Camille,Who'll Stop The Rain,"Chronicle, Vol. 1"
Bernard,Camille,How to Stop an Exploding Man,"Heroes, Season 1"
Bernard,Camille,"Prometheus Overture, Op. 43",Beethoven: Symphony No. 6 'Pastoral' Etc.
Bernard,Camille,Sonata for Solo Violin: IV: Presto,Bartok: Violin & Viola Concertos
Bernard,Camille,I Believe,The Best Of R.E.M.: The IRS Years
Bernard,Camille,Don't Go Back To Rockville,The Best Of R.E.M.: The IRS Years
Bernard,Camille,A Sua,Cesta Básica
Bernard,Camille,Undertow,New Adventures In Hi-Fi
Bernard,Camille,Binky The Doormat,New Adventures In Hi-Fi
Bernard,Camille,Low,Out Of Time
Bernard,Camille,Country Feedback,Out Of Time
Bernard,Camille,Bê-a-Bá,Cesta Básica
